fecha,departamento,municipio,evento,codificacionsegundivipola,muertos,heridos,desapa,personas,familias,viviendasdestru,viviendasaver,vias,ptesvehic,ptepeat,acued,alcant,csalud,ceducat,ccomunit,hectareas,otros,subsidiodearriendo,fechatramiteadtivo,menajes,apaliment,materialesconst,sacos,otros1,transeconomicas,recejecutados
12/14/2008 12:00:00 AM,ANTIOQUIA,VEGACHÍ,INUNDACION,05858,,,,,,,,,,,,,,,,25,PERDIDAS EN CULTIVOS,,,0,0,0,0,,,0
11/23/2005 12:00:00 AM,RISARALDA,LA VIRGINIA,INUNDACION,66400,,,,435,87,,87,,,,,,,,,,,,38761,8580000,26950000,0,0,,,35530000
05/29/1998 12:00:00 AM,ANTIOQUIA,MEDELLÍN,DESLIZAMIENTO,05001,,3,,,,,,,,,,,,,,,,,,,,,,,,0
05/08/2013 12:00:00 AM,TOLIMA,SAN ANTONIO,DESLIZAMIENTO,73675,,,,,,,,1,,,,,,,,,,0,,0,0,0,0,,0,0
02/26/2013 12:00:00 AM,ANTIOQUIA,GOMEZ PLATA,INCENDIO FORESTAL,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
04/19/2011 12:00:00 AM,BOYACÁ,BOYACÁ,DESLIZAMIENTO,15104,,,,145,29,,,,,,,,,,,,,,,0,0,0,0,,0,0
11/08/2001 12:00:00 AM,NARIÑO,LEIVA,INCENDIO FORESTAL,52405,,,,4445,889,,,,,,,,,,,99,*VER REPORTE INCENDIOS FORESTALES,,,0,0,0,0,,,0
12/15/2011 12:00:00 AM,TOLIMA,NATAGAIMA,INUNDACION,73483,,,,,,,,,,,1,,,,,,,,,0,0,0,0,,293422884,293422884
02/05/2009 12:00:00 AM,CHOCÓ,BOJAYÁ,INUNDACION,27099,,,,6732,1392,,,,,,,,,,,,,,,0,0,0,0,,,0
08/12/2009 12:00:00 AM,SANTANDER,BUCARAMANGA,VENDAVAL,68001,,,,100,20,,20,,,,,,,,,,,,,0,0,0,0,,,0
06/30/2013 12:00:00 AM,TOLIMA,VILLAHERMOSA,VENDAVAL,73870,,,,90,18,2,16,,,,,,,,,,,0,,0,0,0,0,,0,0
04/27/2004 12:00:00 AM,NARIÑO,LINARES,INUNDACION,52411,,,,205,41,,,,,,,,,,,,,,38126,2337000,1361200,3015000,0,,,6713200
11/20/2008 12:00:00 AM,TOLIMA,ARMERO GUAYABAL,INUNDACION,73055,,,,209,57,,15,,,,,,,,,,,,,0,0,0,0,,,0
04/04/2006 12:00:00 AM,CAUCA,BOLÍVAR,INUNDACION,19100,,,,40,8,,8,,,,,,2,,,,,,,0,0,0,0,,,0
06/30/2011 12:00:00 AM,CUNDINAMARCA,NIMAIMA,INUNDACION,25489,,,,510,193,,193,,,,,,,,,,,,,0,0,0,0,,0,0
11/15/2011 12:00:00 AM,GUAVIARE,SAN JOSÉ DEL GUAVIARE,INUNDACION,95001,,,,,,,,,,,,,,,,,,,,0,0,0,0,43421005,0,43421005
02/09/2013 12:00:00 AM,VALLE DEL CAUCA,TRUJILLO,SISMO,76828,,,,10,2,,2,,,,,,,,,,,0,,0,0,0,0,,0,0
09/27/2013 12:00:00 AM,HUILA,PALERMO,INCENDIO FORESTAL,41524,,,,,,,,,,,,,,,,500,,0,,0,0,0,0,,0,0
04/26/2011 12:00:00 AM,QUINDIO,SALENTO,VENDAVAL,63690,,,,4,1,,1,,,,,,,,,,,,,0,0,0,0,,0,0
01/18/2008 12:00:00 AM,CAUCA,PIENDAMÓ,DESLIZAMIENTO,19548,,,,,,,,,,,,,,1,,,,,,0,0,0,0,,,0
11/25/2002 12:00:00 AM,CAUCA,EL TAMBO,VENDAVAL,19256,,,,1280,64,,64,,,,,,,,,,,,37607,0,0,5397480,0,,,5397480
